ids;name;time;label
stop_area:OCE:SA:87677252;Accolay-Le-Pont;Europe/Paris;Accolay-Le-Pont (Deux Rivières)
stop_area:OCE:SA:87689737;;Europe/Paris; (Tours)
stop_area:OCE:SA:87381657;Achères-Ville;Europe/Paris;Achères-Ville (Achères)
stop_area:OCE:SA:87658856;Adamswiller Lot. forêt.;Europe/Paris;Adamswiller Lot. forêt. (Adamswiller)
stop_area:OCE:SA:87644112;;Europe/Paris; (Courçay)
stop_area:OCE:SA:87286807;;Europe/Paris; (Genech)
stop_area:OCE:SA:00;.;Europe/Paris;.
stop_area:OCE:SA:87279166;;Europe/Paris; (Niherne)
stop_area:OCE:SA:87287235;;Europe/Paris; (Cysoing)
stop_area:OCE:SA:87658922;Adamswiller-(Mairie).;Europe/Paris;Adamswiller-(Mairie). (Adamswiller)
stop_area:OCE:SA:87545269;Ablon;Europe/Paris;Ablon (Ablon-sur-Seine)
stop_area:OCE:SA:87481614;Abbaretz;Europe/Paris;Abbaretz (Abbaretz)
stop_area:OCE:SA:87721944;Abrest Mairie;Europe/Paris;Abrest Mairie (Abrest)
stop_area:OCE:SA:87286740;;Europe/Paris; (Tressin)
stop_area:OCE:SA:87386052;Achères-Grand-Cormier;Europe/Paris;Achères-Grand-Cormier (Saint-Germain-en-Laye)
stop_area:OCE:SA:87287219;;Europe/Paris; (Anstaing)
stop_area:OCE:SA:80153452;Aachen/Aix la Chapelle;Europe/Paris;Aachen/Aix la Chapelle (Aachen)
stop_area:OCE:SA:87286781;;Europe/Paris; (Cysoing)
stop_area:OCE:SA:87699298;;Europe/Paris;
stop_area:OCE:SA:87110288;;Europe/Paris; (Joué-lès-Tours)
stop_area:OCE:SA:87317362;Abbeville;Europe/Paris;Abbeville (Abbeville)
stop_area:OCE:SA:87287243;;Europe/Paris; (Genech)
stop_area:OCE:SA:87313759;Abancourt;Europe/Paris;Abancourt (Abancourt)
stop_area:OCE:SA:87342048;Achiet;Europe/Paris;Achiet (Achiet-le-Grand)
stop_area:OCE:SA:87191403;Aboncourt;Europe/Paris;Aboncourt (Aboncourt)
